Date,Holiday,DayofWeekInt,DayofWeekName
6/04/2015,Autumn,2,mon
7/04/2015,Autumn,3,tue
8/04/2015,Autumn,4,wed
9/04/2015,Autumn,5,thur
10/04/2015,Autumn,6,fri
11/04/2015,Autumn,7,sat
12/04/2015,Autumn,1,sun
13/04/2015,Autumn,2,mon
14/04/2015,Autumn,3,tue
15/04/2015,Autumn,4,wed
16/04/2015,Autumn,5,thur
17/04/2015,Autumn,6,fri
18/04/2015,Autumn,7,sat
19/04/2015,Autumn,1,sun
29/06/2015,Winter,2,mon
30/06/2015,Winter,3,tue
1/07/2015,Winter,4,wed
2/07/2015,Winter,5,thur
3/07/2015,Winter,6,fri
4/07/2015,Winter,7,sat
5/07/2015,Winter,1,sun
6/07/2015,Winter,2,mon
7/07/2015,Winter,3,tue
8/07/2015,Winter,4,wed
9/07/2015,Winter,5,thur
10/07/2015,Winter,6,fri
11/07/2015,Winter,7,sat
12/07/2015,Winter,1,sun
21/09/2015,Spring,2,mon
22/09/2015,Spring,3,tue
23/09/2015,Spring,4,wed
24/09/2015,Spring,5,thur
25/09/2015,Spring,6,fri
26/09/2015,Spring,7,sat
27/09/2015,Spring,1,sun
28/09/2015,Spring,2,mon
29/09/2015,Spring,3,tue
30/09/2015,Spring,4,wed
1/10/2015,Spring,5,thur
2/10/2015,Spring,6,fri
3/10/2015,Spring,7,sat
4/10/2015,Spring,1,sun
17/12/2015,Summer,5,thur
18/12/2015,Summer,6,fri
19/12/2015,Summer,7,sat
20/12/2015,Summer,1,sun
21/12/2015,Summer,2,mon
22/12/2015,Summer,3,tue
23/12/2015,Summer,4,wed
24/12/2015,Summer,5,thur
25/12/2015,Summer,6,fri
26/12/2015,Summer,7,sat
27/12/2015,Summer,1,sun
28/12/2015,Summer,2,mon
29/12/2015,Summer,3,tue
30/12/2015,Summer,4,wed
31/12/2015,Summer,5,thur
1/01/2016,Summer,6,fri
2/01/2016,Summer,7,sat
3/01/2016,Summer,1,sun
4/01/2016,Summer,2,mon
5/01/2016,Summer,3,tue
6/01/2016,Summer,4,wed
7/01/2016,Summer,5,thur
8/01/2016,Summer,6,fri
9/01/2016,Summer,7,sat
10/01/2016,Summer,1,sun
11/01/2016,Summer,2,mon
12/01/2016,Summer,3,tue
13/01/2016,Summer,4,wed
14/01/2016,Summer,5,thur
15/01/2016,Summer,6,fri
16/01/2016,Summer,7,sat
17/01/2016,Summer,1,sun
18/01/2016,Summer,2,mon
19/01/2016,Summer,3,tue
20/01/2016,Summer,4,wed
21/01/2016,Summer,5,thur
22/01/2016,Summer,6,fri
23/01/2016,Summer,7,sat
24/01/2016,Summer,1,sun
11/04/2016,Autumn,2,mon
12/04/2016,Autumn,3,tue
13/04/2016,Autumn,4,wed
14/04/2016,Autumn,5,thur
15/04/2016,Autumn,6,fri
16/04/2016,Autumn,7,sat
17/04/2016,Autumn,1,sun
18/04/2016,Autumn,2,mon
19/04/2016,Autumn,3,tue
20/04/2016,Autumn,4,wed
21/04/2016,Autumn,5,thur
22/04/2016,Autumn,6,fri
23/04/2016,Autumn,7,sat
24/04/2016,Autumn,1,sun
4/07/2016,Winter,2,mon
5/07/2016,Winter,3,tue
6/07/2016,Winter,4,wed
7/07/2016,Winter,5,thur
8/07/2016,Winter,6,fri
9/07/2016,Winter,7,sat
10/07/2016,Winter,1,sun
11/07/2016,Winter,2,mon
12/07/2016,Winter,3,tue
13/07/2016,Winter,4,wed
14/07/2016,Winter,5,thur
15/07/2016,Winter,6,fri
16/07/2016,Winter,7,sat
17/07/2016,Winter,1,sun
26/09/2016,Spring,2,mon
27/09/2016,Spring,3,tue
28/09/2016,Spring,4,wed
29/09/2016,Spring,5,thur
30/09/2016,Spring,6,fri
1/10/2016,Spring,7,sat
2/10/2016,Spring,1,sun
3/10/2016,Spring,2,mon
4/10/2016,Spring,3,tue
5/10/2016,Spring,4,wed
6/10/2016,Spring,5,thur
7/10/2016,Spring,6,fri
8/10/2016,Spring,7,sat
9/10/2016,Spring,1,sun
21/12/2016,Summer,4,wed
22/12/2016,Summer,5,thur
23/12/2016,Summer,6,fri
24/12/2016,Summer,7,sat
25/12/2016,Summer,1,sun
26/12/2016,Summer,2,mon
27/12/2016,Summer,3,tue
28/12/2016,Summer,4,wed
29/12/2016,Summer,5,thur
30/12/2016,Summer,6,fri
31/12/2016,Summer,7,sat
1/01/2017,Summer,1,sun
2/01/2017,Summer,2,mon
3/01/2017,Summer,3,tue
4/01/2017,Summer,4,wed
5/01/2017,Summer,5,thur
6/01/2017,Summer,6,fri
7/01/2017,Summer,7,sat
8/01/2017,Summer,1,sun
9/01/2017,Summer,2,mon
10/01/2017,Summer,3,tue
11/01/2017,Summer,4,wed
12/01/2017,Summer,5,thur
13/01/2017,Summer,6,fri
14/01/2017,Summer,7,sat
15/01/2017,Summer,1,sun
16/01/2017,Summer,2,mon
17/01/2017,Summer,3,tue
18/01/2017,Summer,4,wed
19/01/2017,Summer,5,thur
20/01/2017,Summer,6,fri
21/01/2017,Summer,7,sat
22/01/2017,Summer,1,sun
23/01/2017,Summer,2,mon
24/01/2017,Summer,3,tue
25/01/2017,Summer,4,wed
26/01/2017,Summer,5,thur
10/04/2017,Autumn,2,mon
11/04/2017,Autumn,3,tue
12/04/2017,Autumn,4,wed
13/04/2017,Autumn,5,thur
14/04/2017,Autumn,6,fri
15/04/2017,Autumn,7,sat
16/04/2017,Autumn,1,sun
17/04/2017,Autumn,2,mon
18/04/2017,Autumn,3,tue
19/04/2017,Autumn,4,wed
20/04/2017,Autumn,5,thur
21/04/2017,Autumn,6,fri
22/04/2017,Autumn,7,sat
23/04/2017,Autumn,1,sun
3/07/2017,Winter,2,mon
4/07/2017,Winter,3,tue
5/07/2017,Winter,4,wed
6/07/2017,Winter,5,thur
7/07/2017,Winter,6,fri
8/07/2017,Winter,7,sat
9/07/2017,Winter,1,sun
10/07/2017,Winter,2,mon
11/07/2017,Winter,3,tue
12/07/2017,Winter,4,wed
13/07/2017,Winter,5,thur
14/07/2017,Winter,6,fri
15/07/2017,Winter,7,sat
16/07/2017,Winter,1,sun
25/09/2017,Spring,2,mon
26/09/2017,Spring,3,tue
27/09/2017,Spring,4,wed
28/09/2017,Spring,5,thur
29/09/2017,Spring,6,fri
30/09/2017,Spring,7,sat
1/10/2017,Spring,1,sun
2/10/2017,Spring,2,mon
3/10/2017,Spring,3,tue
4/10/2017,Spring,4,wed
5/10/2017,Spring,5,thur
6/10/2017,Spring,6,fri
7/10/2017,Spring,7,sat
8/10/2017,Spring,1,sun
20/12/2017,Summer,4,wed
21/12/2017,Summer,5,thur
22/12/2017,Summer,6,fri
23/12/2017,Summer,7,sat
24/12/2017,Summer,1,sun
25/12/2017,Summer,2,mon
26/12/2017,Summer,3,tue
27/12/2017,Summer,4,wed
28/12/2017,Summer,5,thur
29/12/2017,Summer,6,fri
30/12/2017,Summer,7,sat
31/12/2017,Summer,1,sun
1/01/2018,Summer,2,mon
2/01/2018,Summer,3,tue
3/01/2018,Summer,4,wed
4/01/2018,Summer,5,thur
5/01/2018,Summer,6,fri
6/01/2018,Summer,7,sat
7/01/2018,Summer,1,sun
8/01/2018,Summer,2,mon
9/01/2018,Summer,3,tue
10/01/2018,Summer,4,wed
11/01/2018,Summer,5,thur
12/01/2018,Summer,6,fri
13/01/2018,Summer,7,sat
14/01/2018,Summer,1,sun
15/01/2018,Summer,2,mon
16/01/2018,Summer,3,tue
17/01/2018,Summer,4,wed
18/01/2018,Summer,5,thur
19/01/2018,Summer,6,fri
20/01/2018,Summer,7,sat
21/01/2018,Summer,1,sun
22/01/2018,Summer,2,mon
23/01/2018,Summer,3,tue
24/01/2018,Summer,4,wed
25/01/2018,Summer,5,thur
26/01/2018,Summer,6,fri
27/01/2018,Summer,7,sat
28/01/2018,Summer,1,sun
16/04/2018,Autumn,2,mon
17/04/2018,Autumn,3,tue
18/04/2018,Autumn,4,wed
19/04/2018,Autumn,5,thur
20/04/2018,Autumn,6,fri
21/04/2018,Autumn,7,sat
22/04/2018,Autumn,1,sun
23/04/2018,Autumn,2,mon
24/04/2018,Autumn,3,tue
25/04/2018,Autumn,4,wed
26/04/2018,Autumn,5,thur
27/04/2018,Autumn,6,fri
28/04/2018,Autumn,7,sat
29/04/2018,Autumn,1,sun
9/07/2018,Winter,2,mon
10/07/2018,Winter,3,tue
11/07/2018,Winter,4,wed
12/07/2018,Winter,5,thur
13/07/2018,Winter,6,fri
14/07/2018,Winter,7,sat
15/07/2018,Winter,1,sun
16/07/2018,Winter,2,mon
17/07/2018,Winter,3,tue
18/07/2018,Winter,4,wed
19/07/2018,Winter,5,thur
20/07/2018,Winter,6,fri
21/07/2018,Winter,7,sat
22/07/2018,Winter,1,sun
1/10/2018,Spring,2,mon
2/10/2018,Spring,3,tue
3/10/2018,Spring,4,wed
4/10/2018,Spring,5,thur
5/10/2018,Spring,6,fri
6/10/2018,Spring,7,sat
7/10/2018,Spring,1,sun
8/10/2018,Spring,2,mon
9/10/2018,Spring,3,tue
10/10/2018,Spring,4,wed
11/10/2018,Spring,5,thur
12/10/2018,Spring,6,fri
13/10/2018,Spring,7,sat
14/10/2018,Spring,1,sun
24/12/2018,Summer,2,mon
25/12/2018,Summer,3,tue
26/12/2018,Summer,4,wed
27/12/2018,Summer,5,thur
28/12/2018,Summer,6,fri
29/12/2018,Summer,7,sat
30/12/2018,Summer,1,sun
31/12/2018,Summer,2,mon
1/01/2019,Summer,3,tue
2/01/2019,Summer,4,wed
3/01/2019,Summer,5,thur
4/01/2019,Summer,6,fri
5/01/2019,Summer,7,sat
6/01/2019,Summer,1,sun
7/01/2019,Summer,2,mon
8/01/2019,Summer,3,tue
9/01/2019,Summer,4,wed
10/01/2019,Summer,5,thur
11/01/2019,Summer,6,fri
12/01/2019,Summer,7,sat
13/01/2019,Summer,1,sun
14/01/2019,Summer,2,mon
15/01/2019,Summer,3,tue
16/01/2019,Summer,4,wed
17/01/2019,Summer,5,thur
18/01/2019,Summer,6,fri
19/01/2019,Summer,7,sat
20/01/2019,Summer,1,sun
21/01/2019,Summer,2,mon
22/01/2019,Summer,3,tue
23/01/2019,Summer,4,wed
24/01/2019,Summer,5,thur
25/01/2019,Summer,6,fri
26/01/2019,Summer,7,sat
27/01/2019,Summer,1,sun
28/01/2019,Summer,2,mon
15/04/2019,Autumn,2,mon
16/04/2019,Autumn,3,tue
17/04/2019,Autumn,4,wed
18/04/2019,Autumn,5,thur
19/04/2019,Autumn,6,fri
20/04/2019,Autumn,7,sat
21/04/2019,Autumn,1,sun
22/04/2019,Autumn,2,mon
23/04/2019,Autumn,3,tue
24/04/2019,Autumn,4,wed
25/04/2019,Autumn,5,thur
26/04/2019,Autumn,6,fri
27/04/2019,Autumn,7,sat
28/04/2019,Autumn,1,sun
8/07/2019,Winter,2,mon
9/07/2019,Winter,3,tue
10/07/2019,Winter,4,wed
11/07/2019,Winter,5,thur
12/07/2019,Winter,6,fri
13/07/2019,Winter,7,sat
14/07/2019,Winter,1,sun
15/07/2019,Winter,2,mon
16/07/2019,Winter,3,tue
17/07/2019,Winter,4,wed
18/07/2019,Winter,5,thur
